codsbs,tipcreditosbs,codempsistemafinancierodeuda,codctacontablesbs,codmoneda,tipcondiciondiamorosidad,mtodeudasol,tipclasifriesgoempsistemafinan,codrubroicc,codmes
0078698462,11,00072,72150603000000,0001,0.0,2800.0,0,000,202201
0052481341,09,00101,14111306020000,0001,0.0,41879.6,0,004,202201
0052481341,09,00101,14181300000000,0001,0.0,4923.55,0,000,202201
0052481341,09,00123,14181300000000,0001,0.0,170.17,0,000,202201
0052481341,09,00101,29110101000000,0001,0.0,448.22,0,000,202201
0052481341,09,00123,29110201000000,0001,0.0,36.79,0,000,202201
0052481341,09,00123,14111306020000,0001,0.0,50797.09,0,004,202201
0052481341,09,00123,84140900000000,0001,0.0,1.0,0,042,202201
0052481341,09,00101,81193713010000,0001,0.0,41879.6,0,000,202201
0062662492,10,00228,14110206020000,0001,0.0,1300.0,0,004,202201
0062662492,12,00104,14180300000000,0001,0.0,6385.45,0,000,202201
